Name         Project           Compat            Latest            Kind    Platform
----         -------           ------            ------            ----    --------
async-trait  0.1.89            0.1.92            0.1.92            Normal  ---
base64       0.22.1            ---               0.23.1            Normal  ---
dioxus       0.7.9             ---               0.7.10            Normal  ---
dirs         6.0.0             ---               7.0.0             Normal  ---
keyring      3.6.3             ---               4.2.0             Normal  ---
reqwest      0.13.4            0.13.5            0.13.5            Normal  ---
serde        1.0.228           1.0.229           1.0.229           Normal  ---
serde_json   1.0.150           1.0.151           1.0.151           Normal  ---
time         0.3.47            0.3.55            0.3.55            Normal  ---
tokio        1.52.3            1.53.1            1.53.1            Normal  ---
toml         1.1.2+spec-1.1.0  1.1.5+spec-1.1.0  1.1.5+spec-1.1.0  Normal  ---
